source,place_id,name,address,postcode,lat,lng,opening_hours,rating,review_count,price_level,business_status,website,editorial_summary,photo_reference,streetview_url,place_types,price_manual,notes
google,ChIJJyNU9ZY7e0gRCcTFsA61jqA,Andrews Lane Car Park,"Andrews Ln, Formby, Liverpool L37 2HH, UK",L37 2HH,53.55253889999999,-3.0709546,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,5,2,,OPERATIONAL,,,ATCDNfXz6eLpR8YltlxMd-dIv5i0AP20PuCiBMwnQMpBj0MYzKRepqxFBoJJEaHeTgueOgoFnZw91BLLcfKF-mnHSoRDJqYJeRn6ZgmDswHCOkYB-3ka-g-j21RxqCykoJcUoX2ubakWcDcazYdV6AChHbTCQHkBU3DAsB6qWl9oTuvCAXdclyUKA7CiHyrvzER_WnqVLMeqZ_gW14ZXt8jDDXxVsDkOdV7zQIMAxnJylHzvk12gRazIB4WeWqLglUpMaOE9lvGWJVG8d2f8C9lR8_FEWZMN9Wof9PISbTWQlK5EEk84ZtUXNrbJnOsSQicfchaKeJP9kuuMo9K1aud1BoG8YwiVKAcnOT22jZfXFpz-ABlHOpvHaQYqk9bj2rhMeynAz6LU6op5vOPYFLS25RbV_DPLIVaecTSvT1Zgbj4,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.55253889999999,-3.0709546&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJGYBhNT07e0gRx4MDj39c2ME,Formby Station Park & Ride,"Formby Bridge, Formby, Liverpool L37 2JF, UK",L37 2JF,53.5543573,-3.0705087,,4,7,,OPERATIONAL,https://www.merseyrail.org/journey-planning/getting-to-our-stations/car/,,ATCDNfX5qRNGLrA_uuuFxQ8bxMepImlFuIrmlmIaUWSbnGF7XaNRqnDs9YYkoDr6F_aQ01UXmkTfH0cuXh4sVbvjjRCqAxH52LYj15FVhrPOz98tVgON6eYRmEw0_UrzQOK3CotwrP4Q65Z1vJ71a2kWl7YKgsp6CgerIMnoGxa1YrDrOC-VziPkX64CVSn3CKvDJUqY2Zxq0q15JXPqA-jOJBJo0jD-4ypQbymeF1iJQrZOF6FuK-eKxulwq0U1ZLB_zKKSqvaldyJCpkcHSPn0h9ovtGzWEaHHAfMQ536d8GfKxMTV-ifroXjhsCgItJq_f0DywvKeKJtyOQTd91HpEut9uhvdrnpTVUmfg2-1GxBMWjxDDavxNHjzdSvla1SEQhLNHKygYEaVcizhqKGGsbFVRVjuTpM7w5gr-h0aGDectA,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5543573,-3.0705087&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJ5ZuAXgA7e0gRgD4vx5kcV98,Leisure Centre Car Park,"Elbow Ln, Formby, Liverpool L37 4ED, UK",L37 4ED,53.5550947,-3.0628913,Monday: 6:30 AM – 9:15 PM | Tuesday: 6:30 AM – 9:15 PM | Wednesday: 6:30 AM – 9:15 PM | Thursday: 6:30 AM – 9:15 PM | Friday: 6:30 AM – 9:15 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: 8:00 AM – 5:00 PM,1,1,,OPERATIONAL,https://www.formbypool.co.uk/,,ATCDNfUzkmlMm5iQHdE8-dWTwwuHTPLRWO9KTmHCI03j-9tch1LbjNLEE0dYVbQuezm1pP5qlIEg3xg_34JrGLwKvZOZ6j6JxtY9hOu2t_ErnGAE4XVD38uDRmSuDfti3C1pHmpebp8vQf8eRnVg2GrV-JZ0UglOQ3kSczGce2REIysWeRGA2o5SWGcv1EwyUXBQllLdyySbnGFABrX4Mhluew9U8N-bd1FsnCKNZS8wBLFwjDWPx3sQUU9yqvKk3p3ZNMIbBpUs7snWbCnm03ELWJ9xcHL00aL3lTRiq9HwdvMl-Pckwu0QBdZrpFaz9xJriL69H-dt8zxVpOaCvJ9UShjxFhairtHG7JnIfD_xDi5oiPciCqQccqJB7Vnn9uMrIg-3Q3IVWew7d58K4zmsAP7ngsrMPN_OYat3vg2VKn2_YGhWfn3lDGNFCImYyWfI,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5550947,-3.0628913&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJST6Rpxw7e0gRDsJ2Dql3WxQ,Sumner Rd Parking,"Sumner Rd, Formby, Liverpool L37 4AQ, UK",L37 4AQ,53.55616389999999,-3.0610452,,4.7,6,,OPERATIONAL,,,,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.55616389999999,-3.0610452&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJFU86VwM7e0gRFUInlOjjtag,The Cloisters Formby Car Park,"Furness Ave, Formby, Liverpool L37 3NP, UK",L37 3NP,53.5575182,-3.0616366,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,2.4,14,,OPERATIONAL,,,ATCDNfUuU3HK7SJQolRD6y-7hU8MC0DmTIU4jLuJfpGC2i545tJWecM3mNQoySuu2fBH9HjxiryrAUDLqwffr3bViH1Qepz0K0JxdwCle2YV64uhqtMUy4EOl_cnbPyMbOi_uLrMigavS2QwG2UJRYRKlk3P-VRGDQMCT4_ZyDoWYDSDe0IKP39_gAZdA7q3JgjtsZg7SV9VXyeG1CK81NV70Y6dK09wSPu8mPLI5dLqWa8lvzqWrUMV7EbWYDFuFVTBgw_MJsjLtUZ8Zz6sWVvn1IdsMKRAtOMXx2FLsqRiDIxAGSBqprD2nG4-56aKNQBohcbFfbWhEWR6moc-6DrM6lxytOTKnUndTYfmXUSr5EiLBAj4vSNdHdtacDV-40tgX9S-brHw0O5gd6ipbpTqTTL2ScHrguR06_Jhxc9DaXMk80Np,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5575182,-3.0616366&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJocyLmXU7e0gRBTLBQp-PPcU,YourParkingSpace,"Waitrose, Formby, Liverpool L37 4AJ, UK",L37 4AJ,53.557422,-3.05936,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,,,,OPERATIONAL,https://www.yourparkingspace.co.uk/locations/show/78345605?utm_source=google&utm_medium=maps&utm_campaign=book_now,,ATCDNfUZk9HBJFwGVQB-1SmyWqB9BAZrIQkwmgqG-uutpIIEcyOiJV9KG5UHnKLn2xI7jfDy9Dqkf19bTPtfFC_SOT8WA4g11x6ofWLh_KTWnuD-LX_UAfVtf7DqWU08wvbw5d0oPZepRhAj5zuvhl0f4Zg6S0peX4rPKyBJv56RVInwm8B0sOR6H1-Z0WJGKnA4bICQibMV03qp19-jWOHN7TGLln3eQGw0hDLnYCMrTAy2K0vNEMrRfpbXufzIXx5wJRyOcHvvxQ0XH20SkWx9RwyNvoHNTOCnHG4dzSursC2x1A,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.557422,-3.05936&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJLdYEoP86e0gRNTFyMJ97rK0,Freshfield Station Car Park,"43 Victoria Rd, Formby, Merseyside L37, UK",,53.5661168,-3.0720719,,5,2,,OPERATIONAL,,,,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5661168,-3.0720719&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJHxqiopQ6e0gRlRZscP1S4Mc,National Trust Formby: Lifeboat Road Car Park,"Formby, Liverpool L37 2EB, UK",L37 2EB,53.5500263,-3.0953519,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM,4.3,270,2,OPERATIONAL,http://nationaltrust.org.uk/formby,,ATCDNfVuV1WSK2e_x4GB6vSjCh3YsXFwulWMSqiI00WZ1oNuK7Jxmas1ifMlbsonVTmtoeELdiaEYjoS6FNMaC_Ic7QQzDEOkUKFZ-ui27FVtsVMaYMo1how8FF2Oa-lBLXCrPBfWNp2Qxj7HvfG1nYmKA2nFBGQ7yEG2u9evUdtubNDeITvBYGd0JRgsXM8C5frGXIao28HUfEh0jDce4c-8v2ixnPnIqjipFJNcsCSE0NemYURhR1j1EMCV29dkXacTJmX4V6N57gxvU5f6ocUg18141KuwD7_lo5wSlS9EoYgNf7kxoETCXC-buofIuYEw8H-PLv5znVPJJKx9ibk-kj2eBkkF4-NgYbYghsYaQb-STbGS0C8M8kjd9yA_4422cHFhfbzoqQOAn-UPBLVGwcpa4znn08YDzUA1SCmvv8CL3UU5GJMTC-xsdX7zLQu,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5500263,-3.0953519&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJfcWnm_86e0gRV0QytwbzNnc,Freshfield Station Car Park,"1 Montagu Rd, Formby, Merseyside L37, UK",,53.5666601,-3.0716118,,,,,OPERATIONAL,,,ATCDNfXK8bJJ4pdwl2c5OVksSXwaNRd-PURR5gSgjwml1i9A13PRSTzOFF3LL9IiD6RS8gycShw-QdJmTTKasHjel0-9Bl8foHANadrpCMwsS45Uod47OlfSX8DZYGsR6_4K0g5RI1bqe0yeQ9w3tLuxnQzpJwfwcNvgdkgtP2io_bDPR6a2ojyJaQxjGjdy0v1Q8e_pENHJDmuCY31sMAr-GJwykKUUeHHtObiTN3A1sVPrIHcnQEyowRCJeHTb66oW0T6c9dsF6FaU_ny-MMjsjWhkY3ygUIxQyCGQandRhbQz1Cm2nM09F9-669OKobulbJPvO7Mcyg6eXtCbIqNqcffD4RxexC5YX4gbYI3j92ark8-RMc2GDyjJ5GyM9lEjL5y2PioKGU18twpfddFI16hfOOL6rIrN845KjK-14aLKog,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5666601,-3.0716118&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJ7XfHZBU7e0gRGB55Jq-gewU,National Trust Car Park - Victoria Road woodland,"Victoria Rd, Formby, Liverpool L37 1XU, UK",L37 1XU,53.5654614,-3.0872683,,4.3,64,,CLOSED_TEMPORARILY,https://www.nationaltrust.org.uk/formby,,ATCDNfVYtov1q0V_z46zGGDkegvum5lEFhEaoON-DKJJe743Umv_soTNERx7ANut_c28I-jqLD6iSCRe7Ro6loN8bIWKcC2aG-wIKuwhSXqXclx43SvoAfmn6kiuCdAmBQvwB4AXDEIKwyW6NeOUCw2KkE7KPKzWOEO8nv6s0Z98eJcnNdgXDkbAQ6e4zr8BzTPxtImrG1RKLAO4NKrG2mtvbp6zANL0nGHAi1BfP4JC3_W52IoP4sipovLUYIGCUP9orf_498Yt_D3CyRL6ckPSDrauUVDElGxhwKg-srge-Ck_hpTK6-4zXrPPM6eCeiMD6I-2G4F8sjIkmzVpeDzBYtEVkyg82rUVJnIMZAn5wpQrEFZng8kdbSdOrBm0dL4QbVw8z3AvPvDB_rt9RGVBhYd4EPZM1GPE2M8_lctJwJI7NKph,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5654614,-3.0872683&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
