source,osm_id,name,address,postcode,lat,lng,parking_type,access,fee,capacity,opening_hours,operator,surface,lit,covered,disabled_bays,ev_charging,max_stay,supervised,osm_tags_raw,price_manual,notes
osm,way/1347253479,"Car Park (53.5817, -3.0488)",,,53.5817455,-3.0487626,car-park,public,,,,,,,,,,,,"{""access"": ""permissive"", ""amenity"": ""parking""}",,
osm,way/1347253475,"Car Park (53.5821, -3.0492)",,,53.5821446,-3.0492189,car-park,public,,,,,,,,,,,,"{""access"": ""permissive"", ""amenity"": ""parking""}",,
osm,way/229204786,"Car Park (53.5823, -2.9456)",,,53.5822663,-2.9456324,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/1347253477,"Car Park (53.5828, -3.0492)",,,53.5827927,-3.0492348,car-park,public,,,,,,,,,,,,"{""access"": ""permissive"", ""amenity"": ""parking""}",,
osm,way/1347252800,"Car Park (53.5837, -3.0465)",,,53.583695,-3.0465188,car-park,public,,,,,,,,,,,,"{""access"": ""permissive"", ""amenity"": ""parking""}",,
osm,way/1347252799,"Car Park (53.5838, -3.0461)",,,53.5838455,-3.0461255,car-park,public,,,,,,,,,,,,"{""access"": ""permissive"", ""amenity"": ""parking""}",,
osm,way/1347252798,"Car Park (53.5838, -3.0469)",,,53.5838243,-3.0468573,car-park,public,,,,,,,,,,,,"{""access"": ""permissive"", ""amenity"": ""parking""}",,
osm,way/938876841,"Car Park (53.5892, -2.9059)",,,53.5891692,-2.9058654,car-park,public,,,,,asphalt,,,,,,,"{""amenity"": ""parking"", ""surface"": ""asphalt""}",,
osm,way/460369639,"Car Park (53.5988, -3.0481)",,,53.5987868,-3.0481241,car-park,customers,,,,,,,,,,,,"{""access"": ""customers"", ""amenity"": ""parking""}",,
osm,way/790907300,"Car Park (53.6003, -2.9277)",,,53.6002682,-2.9276652,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/714426869,"Car Park (53.6060, -3.0625)",,,53.6059522,-3.0624934,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/369664622,"Car Park (53.6077, -3.0382)",,,53.6076678,-3.0381681,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/369664623,"Car Park (53.6082, -3.0382)",,,53.6081533,-3.0382095,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/30142646,"Car Park (53.6317, -2.9707)",,,53.631675,-2.9707209,car-park,public,Free,,,,,,,,,,,"{""amenity"": ""parking"", ""capacity"": ""unknown"", ""fee"": ""no""}",,
osm,way/41756437,"Car Park (53.6336, -2.9769)",,,53.6336386,-2.9769498,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/1383855926,"Car Park (53.6397, -3.0290)",,,53.6397149,-3.0290422,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/1085892194,"Car Park (53.6418, -3.0246)",,,53.6417661,-3.024623,car-park,public,,8,,,,,,,,,,"{""amenity"": ""parking"", ""capacity"": ""8""}",,
osm,way/42019169,"Car Park (53.6444, -3.0023)",,,53.6444272,-3.002326,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/42019166,"Car Park (53.6452, -3.0033)",,,53.645153,-3.0032572,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/343403484,"Car Park (53.6459, -3.0090)",,,53.6459436,-3.0090161,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking"", ""source"": ""Bing""}",,
osm,way/42020207,"Car Park (53.6466, -3.0160)",,,53.6465565,-3.0159562,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/42020209,"Car Park (53.6469, -3.0186)",,,53.6468709,-3.0186411,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/24489255,"Car Park (53.6469, -3.0218)",,,53.646934,-3.0218178,car-park,public,Paid,,,,,,,,,,,"{""amenity"": ""parking"", ""fee"": ""yes"", ""park_ride"": ""yes""}",,
osm,way/727542516,"Car Park (53.6475, -3.0164)",,,53.6475286,-3.0164181,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/1041190238,"Car Park (53.6479, -3.0040)",,,53.6479093,-3.0040189,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/42083662,"Car Park (53.6481, -3.0079)",,,53.6481038,-3.0079018,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/42083661,"Car Park (53.6485, -3.0074)",,,53.6484873,-3.0073785,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/42028802,"Car Park (53.6490, -3.0066)",,,53.6489993,-3.0066434,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/1043755909,"Car Park (53.6508, -2.9856)",,,53.6507714,-2.9855647,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/1043755910,"Car Park (53.6508, -2.9866)",,,53.6508406,-2.986569,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
osm,way/24950331,"Car Park (53.6518, -3.0071)",,,53.6517695,-3.0071117,car-park,public,Paid,55,,,,,,,,,,"{""amenity"": ""parking"", ""capacity"": ""55"", ""fee"": ""yes"", ""layer"": ""-1""}",,
osm,way/24950365,"Car Park (53.6525, -3.0064)",,,53.6524801,-3.0063621,car-park,public,Paid,26,,,,,,,,,,"{""amenity"": ""parking"", ""capacity"": ""26"", ""fee"": ""yes""}",,
osm,way/1041188360,"Car Park (53.6526, -2.9990)",,,53.6525692,-2.9989949,car-park,public,,,,,,,,,,,,"{""amenity"": ""parking""}",,
